ContactID,ComponentID,ComponentName,CategoryID,CategoryFullName,CategoryDescription,CategoryName,SectionName,StartTime,EndTime,Weight,SimilarityScore
16268145,-30294,Excessive Silence Block,105,Outliers.Excessive Silence Block,Calls from the previous day that meet the criteria for the Longest Silence Block acoustic measure.,Excessive Silence Block,Outliers,null,null,1,null
16268145,-30295,Excessive Silence,106,Outliers.Excessive Silence,Calls from the previous day that meet the criteria for the Highest Percent Silence acoustic measure.,Excessive Silence,Outliers,null,null,1,null
16268145,-30296,Longest Calls,107,Outliers.Longest Contacts,Calls from the previous day that meet the criteria for the Longest Duration acoustic measure.,Longest Contacts,Outliers,null,null,1,null
16268145,-30200,Let me transfer,114,Customer Experience.Transfer Language,Transfer Language used by the agent before transferring the call to another queue,Transfer Language,Customer Experience,107.4,108.3,1,null
16268145,-27723,transfer to department,114,Customer Experience.Transfer Language,Transfer Language used by the agent before transferring the call to another queue,Transfer Language,Customer Experience,107.7,109.4,1,null
16268145,-30125,Let me help you with,118,Customer Experience.Ownership,070618 - chgd count to multiple. ctf,Ownership,Customer Experience,34.7,35.4,1,null
16268145,-30117,Thanks so much,119,Customer Experience.Politeness,"070618 - updated counts, weights, added congratulations.",Politeness,Customer Experience,14.1,14.5,0.5,null
16268145,-30108,How may I assist you,119,Customer Experience.Politeness,"070618 - updated counts, weights, added congratulations.",Politeness,Customer Experience,17,17.6,1,null
16268145,-30117,Thanks so much,119,Customer Experience.Politeness,"070618 - updated counts, weights, added congratulations.",Politeness,Customer Experience,43.8,44.5,0.5,null
16268145,-30117,Thanks so much,119,Customer Experience.Politeness,"070618 - updated counts, weights, added congratulations.",Politeness,Customer Experience,69.6,70.6,0.5,null
16268145,-29919,Radio ID 2.5s,158,Disclosure Details.Radio ID Final,"011918 - updated redact on alphanumeric. added radio redact but inactive for now. No RP
090417 - added aliasing.
070717 - Researching aliases to Radio ID
5.25 Added premier streaming",Radio ID Final,Disclosure Details,59.8,60.1,1,null
16268145,-29863,Account,167,Account Verification.Account,,Account,Account Verification,16,16.1,1,null
16268145,-29862,Radio ID,168,Account Verification.Radio ID,,Radio ID,Account Verification,59.4,60.1,1,null
16472736,-27636,Account,565,Account Verification.Verification Segment,Verification by Segment,Verification Segment,Account Verification,80.6,81.2,1,null
16472736,-27636,Account,565,Account Verification.Verification Segment,Verification by Segment,Verification Segment,Account Verification,95.2,95.4,1,null
16472736,-27633,Phone,565,Account Verification.Verification Segment,Verification by Segment,Verification Segment,Account Verification,105.7,106.3,1,null
16472736,-27606,Opening,570,Call Flow 2021.Call Flow - All Categories,,Call Flow - All Categories,Call Flow 2021,5.7,6,1,null
16472736,-27606,Opening,570,Call Flow 2021.Call Flow - All Categories,,Call Flow - All Categories,Call Flow 2021,9,10,1,null
16472736,-27606,Opening,570,Call Flow 2021.Call Flow - All Categories,,Call Flow - All Categories,Call Flow 2021,9.3,10,1,null
16472736,-27604,Verfication,570,Call Flow 2021.Call Flow - All Categories,,Call Flow - All Categories,Call Flow 2021,30.5,31,1,null
16472736,-27604,Verfication,570,Call Flow 2021.Call Flow - All Categories,,Call Flow - All Categories,Call Flow 2021,30.6,31,1,null
16472736,-27604,Verfication,570,Call Flow 2021.Call Flow - All Categories,,Call Flow - All Categories,Call Flow 2021,53.5,55.6,1,null
16472736,-27604,Verfication,570,Call Flow 2021.Call Flow - All Categories,,Call Flow - All Categories,Call Flow 2021,60.5,61.7,1,null
